id,name,"model (C=county, D=district, 1=all-up, 3=thirds, etc.)","type (LC=leader&cabinet, etc.)",total,majority,coalition,con,lab,ld,grn,ukip,pc,snp,dup,sf,uup,sdlp,ali,tuv,pup,ind,vacant,boundary,"ons code","start of records (or creation of council)","end of records (or abolition of council)",url,"last update"
406,"City of London",,,125,IND,IND,0,5,0,0,0,0,0,0,0,0,0,0,0,0,120,0,,E09000001,2016,2030,http://democracy.cityoflondon.gov.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2020-03-01
405,"Isles of Scilly",,,16,IND,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,,E06000053,2016,2030,http://committees.scilly.gov.uk/mgMemberIndex.aspx?bcr=1,2021-06-12
1,"Buckinghamshire CC",C1,LC,0,CON,CON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Merged into Bucks UA in 2020.",,2016,2019,https://democracy.buckscc.gov.uk/mgMemberIndex.aspx?FN=GROUPING&VW=TABLE&PIC=1,2020-03-01
2,Cambridgeshire,C1,LC,61,NOC,LD/LAB/IND,28,9,20,0,0,0,0,0,0,0,0,0,0,0,4,0,,,2016,2030,https://cambridgeshire.cmis.uk.com/ccc_live/Councillors.aspx,2021-06-04
3,Cumbria,C1,LC,84,NOC,LAB/LD,38,26,16,1,0,0,0,0,0,0,0,0,0,0,3,0,"Elections to E&W Cumbria in 2022, CC to be abolished in 2023.",,2016,2023,http://councilportal.cumbria.gov.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2021-09-01
4,Derbyshire,C1,LC,64,CON,CON,45,14,4,1,0,0,0,0,0,0,0,0,0,0,0,0,,,2016,2030,http://www.derbyshire.gov.uk/council/councillors/,2021-04-26
5,Devon,C1,LC,60,CON,CON,39,7,9,2,0,0,0,0,0,0,0,0,0,0,3,0,,,2016,2030,http://democracy.devon.gov.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2021-04-01
7,"East Sussex",C1,LC,50,CON,CON,27,5,11,4,0,0,0,0,0,0,0,0,0,0,3,0,,,2016,2030,https://democracy.eastsussex.gov.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2021-04-01
8,Essex,C1,LC,75,CON,CON,52,5,8,1,0,0,0,0,0,0,0,0,0,0,9,0,,,2016,2030,https://cmis.essex.gov.uk/essexcmis5/Councillors.aspx,2021-04-01
9,Gloucestershire,C1,LC,53,CON,CON,28,5,16,4,0,0,0,0,0,0,0,0,0,0,0,0,,,2016,2030,http://glostext.gloucestershire.gov.uk/mgMemberIndex.aspx?FN=WARD&VW=LIST&PIC=0,2021-04-01
