local-authority-code,official-name,league-group,pop-2020,pop_bucket
ABC,"Armagh City, Banbridge and Craigavon Borough Council",Northern Ireland,217232.0,NA
ABD,Aberdeenshire Council,Single tier,260780.0,210k - 290k
ABE,Aberdeen City Council,Single tier,229060.0,210k - 290k
ADU,Adur District Council,District councils,64187.0,50k - 80k
AGB,Argyll and Bute Council,Single tier,85430.0,0k - 140k
AGY,Isle of Anglesey County Council,Single tier,70440.0,0k - 140k
ALL,Allerdale Borough Council,District councils,97831.0,90k - 100k
AMB,Amber Valley Borough Council,District councils,128829.0,120k - 130k
AND,Ards and North Down Borough Council,Northern Ireland,162056.0,NA
ANN,Antrim and Newtownabbey Borough Council,Northern Ireland,143756.0,NA
ANS,Angus Council,Single tier,115820.0,0k - 140k
ARU,Arun District Council,District councils,161123.0,140k - 160k
ASF,Ashford Borough Council,District councils,131018.0,120k - 130k
ASH,Ashfield District Council,District councils,128337.0,120k - 130k
BAB,Babergh District Council,District councils,92735.0,80k - 90k
BAE,Bassetlaw District Council,District councils,118280.0,110k - 120k
BAI,Basildon Borough Council,District councils,187558.0,170k - 250k
BAN,Basingstoke and Deane Borough Council,District councils,177760.0,170k - 250k
BAR,Barrow-in-Furness Borough Council,District councils,66726.0,50k - 80k
BAS,Bath and North East Somerset Council,Single tier,196357.0,140k - 210k
BBD,Blackburn with Darwen Borough Council,Single tier,150030.0,140k - 210k
BDF,Bedford Borough Council,Single tier,174687.0,140k - 210k
BDG,London Borough of Barking and Dagenham,Single tier,214107.0,210k - 290k
BEN,London Borough of Brent,Single tier,327753.0,290k - 410k
BEX,London Borough of Bexley,Single tier,249301.0,210k - 290k
BFS,Belfast City Council,Northern Ireland,342560.0,NA
BGE,Bridgend County Borough Council,Single tier,147539.0,140k - 210k
BGW,Blaenau Gwent County Borough Council,Single tier,70020.0,0k - 140k
BIR,Birmingham City Council,Single tier,1140525.0,800k - 1140k
BLA,Blaby District Council,District councils,101950.0,90k - 100k
BNE,London Borough of Barnet,Single tier,399007.0,290k - 410k
BNH,Brighton and Hove City Council,Single tier,291738.0,290k - 410k
BNS,Barnsley Metropolitan Borough Council,Single tier,248071.0,210k - 290k
BOL,Bolton Metropolitan Borough Council,Single tier,288248.0,290k - 410k
BOS,Bolsover District Council,District councils,81305.0,80k - 90k
BOT,Boston Borough Council,District councils,70837.0,50k - 80k
BPC,"Bournemouth, Christchurch and Poole Council",Single tier,396989.0,290k - 410k
BPL,Blackpool Borough Council,Single tier,138381.0,0k - 140k
BRA,Braintree District Council,District councils,153091.0,140k - 160k
BRC,Bracknell Forest Council,Single tier,124165.0,0k - 140k
BRD,City of Bradford Metropolitan District Council,Single tier,542128.0,440k - 640k
BRE,Breckland District Council,District councils,141255.0,140k - 160k
BRM,Bromsgrove District Council,District councils,100569.0,90k - 100k
BRO,Broadland District Council,District councils,131931.0,120k - 130k
BRT,Broxtowe Borough Council,District councils,114627.0,110k - 120k
BRW,Brentwood Borough Council,District councils,77242.0,50k - 80k
BRX,Broxbourne Borough Council,District councils,97592.0,90k - 100k
BRY,London Borough of Bromley,Single tier,332752.0,290k - 410k
BST,Bristol City Council,Single tier,465866.0,440k - 640k
BUC,Buckinghamshire Council,Single tier,547060.0,440k - 640k
BUN,Burnley Borough Council,District councils,89344.0,80k - 90k
BUR,Bury Metropolitan Borough Council,Single tier,190708.0,140k - 210k
CAB,Cambridge City Council,District councils,125063.0,120k - 130k
CAM,Cambridgeshire County Council,County councils,657204.0,under 800k
CAN,Cannock Chase District Council,District councils,101484.0,90k - 100k
CAR,Carlisle City Council,District councils,108524.0,110k - 120k
CAS,Castle Point Borough Council,District councils,90524.0,80k - 90k
CAT,Canterbury City Council,District councils,166762.0,170k - 250k
CAY,Caerphilly County Borough Council,Single tier,181731.0,140k - 210k
CBF,Central Bedfordshire Council,Single tier,294096.0,290k - 410k
CCG,Causeway Coast and Glens Borough Council,Northern Ireland,144943.0,NA
CGN,Ceredigion County Council,Single tier,72895.0,0k - 140k
CHA,Charnwood Borough Council,District councils,188416.0,170k - 250k
CHE,Cheshire East Council,Single tier,386667.0,290k - 410k
CHI,Chichester District Council,District councils,121508.0,120k - 130k
CHL,Chelmsford City Council,District councils,179549.0,170k - 250k
CHO,Chorley Borough Council,District councils,118870.0,120k - 130k
CHR,Cherwell District Council,District councils,151846.0,140k - 160k
CHS,Chesterfield Borough Council,District councils,104930.0,90k - 100k
CHT,Cheltenham Borough Council,District councils,116043.0,110k - 120k
CHW,Cheshire West and Chester Council,Single tier,343823.0,290k - 410k
CLD,Calderdale Metropolitan Borough Council,Single tier,211439.0,210k - 290k
CLK,Clackmannanshire Council,Single tier,51290.0,0k - 140k
CMA,Cumbria County Council,County councils,499781.0,under 800k
CMD,London Borough of Camden,Single tier,279516.0,210k - 290k
CMN,Carmarthenshire County Council,Single tier,190073.0,140k - 210k
COL,Colchester Borough Council,District councils,197200.0,170k - 250k
CON,Cornwall Council,Single tier,573299.0,440k - 640k
COP,Copeland Borough Council,District councils,68041.0,50k - 80k
COT,Cotswold District Council,District councils,90264.0,80k - 90k
COV,Coventry City Council,Single tier,379387.0,290k - 410k
CPCA,Cambridgeshire and Peterborough Combined Authority,Combined/strategic authorities,,NA
CRA,Craven District Council,District councils,57338.0,50k - 80k
CRF,City of Cardiff Council,Single tier,369202.0,290k - 410k
CRW,Crawley Borough Council,District councils,112474.0,110k - 120k
CRY,London Borough of Croydon,Single tier,388563.0,290k - 410k
CWY,Conwy County Borough Council,Single tier,118184.0,0k - 140k
DAC,Dacorum Borough Council,District councils,155457.0,140k - 160k
DAL,Darlington Borough Council,Single tier,107402.0,0k - 140k
DAR,Dartford Borough Council,District councils,114051.0,110k - 120k
DBY,Derbyshire County Council,County councils,807183.0,800k - 1m
DEB,Derbyshire Dales District Council,District councils,72422.0,50k - 80k
DEN,Denbighshire County Council,Single tier,96664.0,0k - 140k
DER,Derby City Council,Single tier,256814.0,210k - 290k
DEV,Devon County Council,County councils,810716.0,800k - 1m
DGY,Dumfries and Galloway Council,Single tier,148290.0,140k - 210k
DNC,Doncaster Metropolitan Borough Council,Single tier,312785.0,290k - 410k
DND,Dundee City Council,Single tier,148820.0,140k - 210k
DOV,Dover District Council,District councils,118514.0,110k - 120k
DRS,Derry City and Strabane District Council,Northern Ireland,151109.0,NA
DST,Dorset Council,Single tier,379791.0,290k - 410k
DUD,Dudley Metropolitan Borough Council,Single tier,322363.0,290k - 410k
DUR,Durham County Council,Single tier,533149.0,440k - 640k
EAL,London Borough of Ealing,Single tier,340341.0,290k - 410k
EAS,Eastbourne Borough Council,District councils,103324.0,90k - 100k
EAT,Eastleigh Borough Council,District councils,135520.0,140k - 160k
EAY,East Ayrshire Council,Single tier,121600.0,0k - 140k
ECA,East Cambridgeshire District Council,District councils,90172.0,80k - 90k
EDE,East Devon District Council,District councils,148080.0,140k - 160k
EDH,City of Edinburgh Council,Single tier,527620.0,440k - 640k
EDN,Eden District Council,District councils,53754.0,50k - 80k
EDU,East Dunbartonshire Council,Single tier,108750.0,0k - 140k
EHA,East Hampshire District Council,District councils,123838.0,120k - 130k
EHE,East Hertfordshire District Council,District councils,151786.0,140k - 160k
ELI,East Lindsey District Council,District councils,142030.0,140k - 160k
ELM,Elmbridge Borough Council,District councils,137215.0,140k - 160k
ELN,East Lothian Council,Single tier,107900.0,0k - 140k
ELS,Comhairle nan Eilean Siar,Single tier,26500.0,0k - 140k
ENF,London Borough of Enfield,Single tier,333587.0,290k - 410k
EPP,Epping Forest District Council,District councils,132175.0,120k - 130k
EPS,Epsom and Ewell Borough Council,District councils,81003.0,80k - 90k
ERE,Erewash Borough Council,District councils,115332.0,110k - 120k
ERW,East Renfrewshire Council,Single tier,96060.0,0k - 140k
ERY,East Riding of Yorkshire Council,Single tier,343201.0,290k - 410k
ESK,East Suffolk Council,District councils,250373.0,170k - 250k
ESS,Essex County Council,County councils,1497759.0,1m +
EST,East Staffordshire Borough Council,District councils,120923.0,120k - 130k
ESX,East Sussex County Council,County councils,558852.0,under 800k
EXE,Exeter City Council,District councils,133333.0,120k - 130k
FAL,Falkirk Council,Single tier,160560.0,140k - 210k
FAR,Fareham Borough Council,District councils,116338.0,110k - 120k
FEN,Fenland District Council,District councils,102080.0,90k - 100k
FIF,Fife Council,Single tier,374130.0,290k - 410k
FLN,Flintshire County Council,Single tier,156847.0,140k - 210k
FMO,Fermanagh and Omagh District Council,Northern Ireland,117337.0,NA
FOE,Forest of Dean District Council,District councils,87107.0,80k - 90k
FYL,Fylde Borough Council,District councils,81211.0,80k - 90k
GAT,Gateshead Metropolitan Borough Council,Single tier,201950.0,140k - 210k
GED,Gedling Borough Council,District councils,118239.0,110k - 120k
GLA,Greater London Authority,Combined/strategic authorities,9002488.0,NA
GLG,Glasgow City Council,Single tier,635640.0,440k - 640k
GLO,Gloucester City Council,District councils,129709.0,120k - 130k
GLS,Gloucestershire County Council,County councils,640650.0,under 800k
GMCA,Greater Manchester Combined Authority,Combined/strategic authorities,2848286.0,NA
GOS,Gosport Borough Council,District councils,84679.0,80k - 90k
GRA,Gravesham Borough Council,District councils,106890.0,110k - 120k
GRE,Royal Borough of Greenwich,Single tier,289034.0,290k - 410k
GRT,Guildford Borough Council,District councils,150352.0,140k - 160k
GRY,Great Yarmouth Borough Council,District councils,99198.0,90k - 100k
GWN,Gwynedd Council,Single tier,125171.0,0k - 140k
HAA,Havant Borough Council,District councils,126339.0,120k - 130k
HAE,Hambleton District Council,District councils,91932.0,80k - 90k
HAG,Harrogate Borough Council,District councils,161545.0,140k - 160k
HAL,Halton Borough Council,Single tier,129759.0,0k - 140k
HAM,Hampshire County Council,County councils,1389206.0,1m +
